Case,,Entity,,,OnlineStateTransfer,,,Offline Deliver,,,Termination,
,Rule,QA,Justitia,Rule,QA,Justitia,Rule,QA,Justitia,Rule,QA,Justitia
PA0,0.40,0.65,0.85,1.00,0.50,1.00,1.00,0.00,1.00,0.33,0.33,0.33
PA1,0.41,0.36,0.47,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.33,1.00
PA2,0.38,0.80,0.67,0.50,0.00,0.50,1.00,0.00,1.00,0.67,0.33,1.00
PA3,0.76,0.83,0.67,1.00,0.50,1.00,1.00,0.00,1.00,0.67,0.33,1.00
PA4,0.28,0.22,0.22,1.00,0.50,1.00,1.00,0.00,1.00,1.00,0.33,1.00
PA5,0.18,0.81,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.33,1.00
SA0,0.55,1.00,1.00,1.00,0.50,1.00,1.00,0.00,1.00,0.67,0.33,0.67
SA1,0.33,1.00,1.00,1.00,0.50,1.00,1.00,0.00,1.00,1.00,0.67,1.00
SECPA0,0.31,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.67,0.67,1.00
SECPA1,0.25,0.89,0.89,1.00,0.00,1.00,1.00,1.00,1.00,0.67,0.33,0.67
SECPA2,0.50,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.67,0.33,1.00
SECPA3,0.37,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.67,0.67,1.00
SPA0,0.47,1.00,1.00,1.00,0.50,1.00,1.00,0.00,1.00,0.33,0.67,0.33
SPA1,0.40,1.00,1.00,0.50,0.50,0.50,1.00,0.00,1.00,0.67,0.67,1.00
SPA2,0.68,1.00,1.00,1.00,0.50,1.00,1.00,0.00,1.00,1.00,0.67,1.00
SPA3,0.33,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.33,1.00
SPA4,0.42,1.00,1.00,1.00,0.50,1.00,1.00,0.00,1.00,0.67,0.67,1.00
SPA5,0.33,0.89,1.00,0.50,0.00,0.50,1.00,0.00,1.00,0.67,0.67,0.67
SPA6,0.51,0.89,1.00,0.50,0.50,0.50,1.00,0.00,1.00,0.67,0.33,0.67
SPA7,0.33,0.89,1.00,1.00,0.50,1.00,1.00,0.00,1.00,0.67,0.67,0.67
SPA8,0.64,0.89,1.00,1.00,0.50,1.00,1.00,0.00,1.00,0.67,0.33,0.67
SPA9,0.33,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.67,0.33,0.67
AVG,0.42,0.87,0.90,0.91,0.27,0.91,1.00,0.09,1.00,0.73,0.47,0.83
